seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth
10022,DR.ofal,1.4675091107633866,-0.5324908892366134,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10022,DR.pfal,1.6625927746809492,-0.33740722531905076,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10022,DR.o&pfal,1.733948671304002,-0.266051328695998,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10023,IPW,2.2540559873859656,0.2540559873859656,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10023,IPW.fal,2.0263705315620215,0.026370531562021515,"[0.0, 2.0]",,false,,B,1000,2.0
10023,OR,2.0556916342545786,0.05569163425457857,,"[0.0, 2.0, 3.0, 2.0, -4.0]",,true,B,1000,2.0
10023,OR.fal,0.8312647006615305,-1.1687352993384694,,"[0.0, 2.0, 3.0]",,false,B,1000,2.0
10023,DR,2.1985241145424,0.19852411454239993,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",true,true,B,1000,2.0
10023,DR.ofal,2.3537233360305145,0.35372333603051453,"[-3.0, 2.5, 3.0, 1.0, -3.0]","[0.0, 2.0, 3.0]",true,false,B,1000,2.0
10023,DR.pfal,2.1900404359853254,0.19004043598532538,"[0.0, 2.0]","[0.0, 2.0, 3.0, 2.0, -4.0]",false,true,B,1000,2.0
10023,DR.o&pfal,2.6075789933199576,0.6075789933199576,"[0.0, 2.0]","[0.0, 2.0, 3.0]",false,false,B,1000,2.0
10024,IPW,1.776959705370583,-0.223040294629417,"[-3.0, 2.5, 3.0, 1.0, -3.0]",,true,,B,1000,2.0
10024,IPW.fal,0.9841885200081077,-1.0158114799918923,"[0.0, 2.0]",,false,,B,1000,2.0
