seed,method,estimate,bias,alpha,beta,propensity_spec,outcome_spec,setting,n,truth,truth_key
16,DR,1.0334873837788707,0.03348738377887073,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
16,DR.ofal,1.1407135058173703,0.1407135058173703,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
16,DR.pfal,1.0267670694832043,0.026767069483204287,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
16,DR.o&pfal,0.5130443594602688,-0.48695564053973117,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
17,IPW,0.9467298824407222,-0.053270117559277796,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
17,IPW.fal,0.49076046230084613,-0.5092395376991539,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
17,OR,1.0601966668688034,0.06019666686880343,,"[0.0, 1.0, 2.5, 3.0]",,true,A,1000,1.0,mu_true
17,OR.fal,0.6353884672286957,-0.3646115327713043,,"[0.0, 0.0, 0.0]",,false,A,1000,1.0,mu_true
17,DR,1.0681130061260962,0.06811300612609617,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",true,true,A,1000,1.0,mu_true
17,DR.ofal,0.9394363530601534,-0.060563646939846616,"[-1.0, 1.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0]",true,false,A,1000,1.0,mu_true
17,DR.pfal,1.0568664290783858,0.056866429078385794,"[1.0, -1.0]","[0.0, 1.0, 2.5, 3.0]",false,true,A,1000,1.0,mu_true
17,DR.o&pfal,0.5403312866259188,-0.4596687133740812,"[1.0, -1.0]","[0.0, 0.0, 0.0]",false,false,A,1000,1.0,mu_true
18,IPW,1.1173529342170259,0.11735293421702586,"[-1.0, 1.0, 0.0, 0.0, -1.0]",,true,,A,1000,1.0,mu_true
18,IPW.fal,0.642801818712829,-0.35719818128717096,"[1.0, -1.0]",,false,,A,1000,1.0,mu_true
